一,yī,one
一角仙,yījiǎoxiān,"(name of ascetic) lit. One-horned Rishi, Ekaśṛṅga"
丁,dìng (<>dīng),nail
丁亥,dīnghài,(Year. According to the 64 year cycle: 867)
丁未,dīngwèi,"(determine this date, keeping in mind that it should correspond to the 26th year of the Jiajing era)"
七返,qīfǎn,"(Skt. saptakṛdbhavaparama), lit. “seven returns”; that is, seven more lives before liberation"
七金,qījīn,seven gold (mountains that surround Mount Sumeru)
三,sān,three
三世,sānshì,"three periods of time (past, present, future)"
三事,sānshì,"here probably short for 三事戒 “precepts for the three activities” (of body, speech and mind)"
三千界,sānqiānjiè,"three thousand world (short for 三千大千世界, the “trichiliocosm”)"
三塗,sāntú,"the three [inferior] paths (i.e. beasts, ghosts, hell beings)"
三寶,sānbǎo,"the Three Jewels (Buddha, Dharma, sangha)"
三才,sāncái,"the three powers, the three generative forces (heaven, earth, man)"
三業,sānyè,three (sources of) karma
三歸,sānguī,"three refuges (to the Buddha, the Dharma and the sangha)"
三界,sānjiè,"three realms (realm of desire, realm of form, formless realm)"
三皇,sānhuáng,"the three kings (here probably Fúxī 伏犧, Shénnóng 神農 and the Yellow Emperor Huángdì 黃帝, but the designation varies)."
三聖,Sānshēng (<>sānshèng),(name of a monk)
三藏,sānzàng,the three repositories (Skt. tripiṭaka)
三途,sāntú,"three [undesirable] paths, three [woeful] destinies (hell, hungry ghosts, beasts)"
上品,shàngpǐn,"highest degree, worst"
上座,shàngzuò,"(monastic title) Head Seat; also, an honorific for a monk; here it refers to Linji: e.g. You, venerable sir..."
下,xià,beneath
下口食,xiàkǒushí,lit. ‘eating by means of looking down’ (i.e. cultivating the land)
不,bù,"One of the most common negatives. In declarative sentences, it comes before the word it negates. In questions, it can come at the very end of a sentence, and can be translated “or not”. This construction is particularly common in Buddhist texts."
不允,bùyǔn,not respected
不動,búdòng (<>bùdòng),"non-resultant (karma), non-propelling (activity). (One of three types of karma; Skt. āniñjyamkarma)."
不善十業,búshàn shíyè (<>bùshànshíyè),the ten types of bad karma; ten types of unwholesome behavior
不得,bùdé,"cannot, not allowed"
不放,búfàng (<>bùfàng),"to release, to let go"
不易,búyì (<>bùyì),is not easy; does not change
不與取,bùyǔqǔ,taking that which has not been given (one of the ten types of unwholesome behavior)
不遂,búsuì (<>bùsuí),with difficulty; to fail (the alternate reading in note 24 [遂=遠] makes more sense)
且止,qiězhǐ,"stop, wait"
世尊,Shìzūn,World-Honored One
世導師,shìdǎoshī,guide of the world (i.e. a buddha)
丘塚,qiūzhǒng,"tomb, crypt, grave"
丙午,bǐngwǔ,1546
丙戌,bǐngxū,(year given according to 60 year cycle: 866)
丙申,bǐngshēn,(corresponds to November 5th )
中,zhòng,to hit (a target); to resolve
中使,zhōngshǐ,Imperial Commissioner (title)
中分,zhōngfèn (<>zhōngfēn),"to spread out from the center, to fan out; to be distributed throughout"
中散大夫,zhōngsàn dàfū,Grand Master of Palace Leisure
中觀論,Zhōngguānlùn,Treatise on the Middle Way (Skt. Mūlamadhyamaka-kārikā T. 1564).
丸,wán,"ball, pellet"
丹誠,dānchéng,pure sincerity
久,jiǔ,a long time; long (duration)
久待,Jiǔdài,"(presumably a mistake for 久視, era name, 700-701)"
之,zhī,to go to; to proceed to; it; (possessive marker)
乍,zhà,"suddenly, abruptly"
乖,guāi,"betray, to contradict"
乘,chéng,to take advantage of
九品,jiǔpǐn,nine ranks (of rebirth in the pure land)
九孔,jiǔkǒng,the nine apertures
乞,qǐ,"to beg, to request"
乳名,rǔmíng,“milk name” (name given for when one is a child)
乳藥,rǔyào,medicine
乳養,rǔyǎng,"to nurture, to raise"
亂,luàn,"chaos, confusion"
了了,liǎoliǎo,perfectly clear; completely
了期,liǎoqī (<>leqī),end
予,yú (<>yǔ),"I, me"
事,shì,"thing, event"
事意,shìyì,"plan, intention"
二,èr,two
二禪,èrchán,Second Meditation (Heaven)
二種,èrzhǒng,"two types (here, as explained below: incipient, and carried out)"
二部僧,èrbùsēng,the two monastic assemblies (monks and nuns)
云何,yúnhé,"how, why"
云爾,yún'ěr,"just, nothing more (equivalent to 而已)."
五,wǔ,five
五常,wǔcháng,the five constant virtues (仁、義、禮、智、信)
五戒,wǔjiè,"five precepts (against killing, stealing, lascivious behavior, false speech and intoxicants)"
五穀,wǔgǔ,the five grains (there are various sets of five)
五級寺,Wǔjísì,(name of a monastery)
